"","AQSID","Param","Site_code","site_name","status","AgencyID","Agency_name","EPA_reg","lat","long","elev","GMT_offset","country","MSA_code","MSA_name","state_code","state_name","county_code","county_name"
"10071","480290055","WS","0055","CPS Pecan Valley C678","Inactive","TX1","Texas Commission on Environmental Quality","R6",29.4072,-98.4311,189.1,-6,"US",41700," San Antonio, TX ","48","TX","029","BEXAR"
"10072","480290055","WD","0055","CPS Pecan Valley C678","Inactive","TX1","Texas Commission on Environmental Quality","R6",29.4072,-98.4311,189.1,-6,"US",41700," San Antonio, TX ","48","TX","029","BEXAR"
"10073","480290055","O3","0055","CPS Pecan Valley C678","Inactive","TX1","Texas Commission on Environmental Quality","R6",29.4072,-98.4311,189.1,-6,"US",41700," San Antonio, TX ","48","TX","029","BEXAR"
"10074","480290055","PM2.5","0055","CPS Pecan Valley C678","Inactive","TX1","Texas Commission on Environmental Quality","R6",29.4072,-98.4311,189.1,-6,"US",41700," San Antonio, TX ","48","TX","029","BEXAR"
"10075","480290055","NO2","0055","CPS Pecan Valley C678","Inactive","TX1","Texas Commission on Environmental Quality","R6",29.4072,-98.4311,189.1,-6,"US",41700," San Antonio, TX ","48","TX","029","BEXAR"
"10076","482010416","CO","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10077","482010416","SO2","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10078","482010416","TEMP","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10079","482010416","RHUM","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10080","482010416","BARPR","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
"10081","482010416","SRAD","0416","Houston Park Place C416","Active","TX1","Texas Commission on Environmental Quality","R6",29.68639,-95.294724,9.2,-6,"US",26420," Houston-Sugar Land-Baytown, TX ","48","TX","201","HARRIS"
